manufacturer,country_code,family,name,airplane_type,intro_year,intro_week,price,capacity,range,fuel_burn,fuel_burn_climb,speed,runway_requirement,climb_rate,cruise_altitude,lifespan,construction_time,image_url
Douglas Corporation,US,Douglas DC-3,Douglas DC-3,SHORT_RANGE_PROP,1936,1,6400000,32,1275,304,468,297,562,368,3400,20,0,
Lisunov,RU,Lisunov Li-2,Lisunov Li-2,SHORT_RANGE_PROP,1936,1,6400000,32,1275,304,468,297,562,368,3400,20,0,
Vickers,GB,Vickers Props,Vickers Viking,SHORT_RANGE_PROP,1953,1,7900000,36,1608,465,576,340,591,490,1800,25,0,
Vickers,GB,Vickers Viscount,Viscount 700,REGIONAL_PROP,1946,1,11660000,40,2768,1125,1450,509,1482,345,6100,25,0,
Vickers,GB,Vickers Viscount,Viscount 800,REGIONAL_PROP,1957,6,17875000,65,2140,1295,1670,509,1650,372,6100,25,4,
Vickers,GB,Vickers Viscount,Viscount 810,REGIONAL_PROP,1958,16,19500000,75,2670,1450,1870,565,1530,503,6100,25,8,
Convair,US,Convair Props,Convair CV-240,SHORT_RANGE_PROP,1948,24,8400000,44,1330,624,893,432,790,529,4900,25,0,
Convair,US,Convair Props,Convair CV-340,SHORT_RANGE_PROP,1952,11,10400000,52,2330,714,1020,460,798,674,5500,25,4,
Convair,US,Convair Props,Convair CV-440,SHORT_RANGE_PROP,1956,15,12900000,60,2600,714,1020,460,904,573,6100,25,4,
Douglas Corporation,US,Douglas DC-6 / DC-7,Douglas DC-6,LONG_RANGE_PROP,1947,10,19500000,60,4500,1283,1782,505,1406,650,6000,30,8,
Douglas Corporation,US,Douglas DC-6 / DC-7,Douglas DC-6B,LONG_RANGE_PROP,1951,15,24500000,70,5416,1261,2035,505,1590,600,6300,30,8,
Douglas Corporation,US,Douglas DC-6 / DC-7,Douglas DC-7,LONG_RANGE_PROP,1953,49,29600000,74,7593,1040,1380,590,1739,299,6600,30,8,
Douglas Corporation,US,Douglas DC-6 / DC-7,Douglas DC-7C,LONG_RANGE_PROP,1956,23,49875000,105,9681,1085,1420,590,1947,267,6600,30,12,
Lockheed,US,Lockheed Constellation,L-749 Constellation,LONG_RANGE_PROP,1947,26,24850000,70,5890,1200,1792,495,1207,590,6100,25,8,
Lockheed,US,Lockheed Constellation,L-749A Constellation,LONG_RANGE_PROP,1949,28,30885000,87,5890,1198,1788,495,1348,590,6100,25,8,
Lockheed,US,Lockheed Constellation,L-1049 Super Constellation,LONG_RANGE_PROP,1951,50,30000000,80,6707,1229,1835,515,1327,464,6100,25,8,
Lockheed,US,Lockheed Constellation,L-1049C Super Constellation,LONG_RANGE_PROP,1953,32,38250000,85,8143,1034,1380,525,1656,285,6100,30,8,
Lockheed,US,Lockheed Constellation,L-1049G Super Constellation,LONG_RANGE_PROP,1955,27,52250000,110,9810,1029,1370,535,1766,275,6100,30,12,
Lockheed,US,Lockheed Constellation,L-1649 Starliner,LONG_RANGE_PROP,1957,22,70350000,134,11062,1194,1560,563,2003,281,5700,35,24,
Martin,US,Martin Props,Martin 4-0-4,SHORT_RANGE_PROP,1951,44,9000000,40,1740,524,680,450,603,581,5500,35,0,
DeHaviland,GB,DeHaviland Props,DH.104 Dove,SHORT_RANGE_PROP,1946,39,3750000,15,1100,105,150,322,550,346,2400,30,0,
DeHaviland,GB,DeHaviland Props,DH.114 Heron,SHORT_RANGE_PROP,1953,30,5100000,20,1855,150,224,322,475,478,2600,30,0,
Airspeed,GB,Airspeed Props,A.S. 57 Ambasador,SHORT_RANGE_PROP,1952,11,11250000,50,3325,648,763,463,949,280,5800,25,4,
BAC,GB,Bristol Britania,Bristol Britania 102,LONG_RANGE_PROP,1957,5,35250000,94,6600,2000,2600,550,1500,800,8500,35,18,
BAC,GB,Bristol Britania,Bristol Britania 312,LONG_RANGE_PROP,1957,51,59075000,139,7100,2200,2900,575,1750,677,7300,35,18,
Boeing,US,Boeing Props,Boeing 307,SHORT_RANGE_PROP,1940,28,7600000,38,1983,626,858,368,412,385,3500,20,0,
Avro,GB,Avro 685 York,Avro 685 York,SHORT_RANGE_PROP,1944,15,12600000,56,3137,843,1055,430,1184,348,5300,25,4,
Saab,SE,Saab Props,Saab 90 Scandia,SHORT_RANGE_PROP,1950,41,7920000,36,1480,440,590,340,640,460,3000,25,0,
Antonov,UA,Antonov An-10,Antonov An-10,REGIONAL_PROP,1954,52,18700000,85,1980,1800,3600,630,800,660,8000,20,6,
Antonov,UA,Antonov An-10,Antonov An-10A,REGIONAL_PROP,1957,25,23100000,110,2450,2100,3789,630,970,620,9000,20,8,
Antonov,UA,Antonov An-10,Antonov An-10V,REGIONAL_PROP,1959,30,29500000,130,3245,2100,3920,630,1400,790,10000,20,8,
Antonov,UA,Antonov An-24,Antonov An-24A,SMALL_PROP,1962,44,11440000,44,1850,750,1346,460,635,450,6000,40,2,
Antonov,UA,Antonov An-24,Antonov An-24B,SMALL_PROP,1964,24,13780000,52,1850,750,1346,460,780,450,7500,40,2,
DeHaviland,GB,DeHaviland Comet,DeHaviland Comet 4,EARLY_JET,1958,40,33300000,74,5383,4145,14960,725,2065,1511,8000,25,8,
DeHaviland,GB,DeHaviland Comet,DeHaviland Comet 4B,EARLY_JET,1959,26,49050000,109,4650,4050,14600,725,1514,820,9500,25,8,
DeHaviland,GB,DeHaviland Comet,DeHaviland Comet 4C,EARLY_JET,1959,44,45000000,100,4372,4971,14200,785,2031,866,9500,24,8,
Sud Aviation,FR,Sud Aviation Caravelle,Caravelle I,EARLY_JET,1958,21,29250000,78,1780,3470,7400,755,1640,1120,8000,30,8,
Sud Aviation,FR,Sud Aviation Caravelle,Caravelle III,EARLY_JET,1959,52,30030000,78,2000,3760,8000,775,1583,1215,8000,30,8,
Sud Aviation,FR,Sud Aviation Caravelle,Caravelle VI,EARLY_JET,1961,28,34265000,89,2300,4130,8750,800,1560,1235,9000,30,8,
Sud Aviation,FR,Sud Aviation Caravelle,Caravelle 10B,EARLY_JET,1964,33,41080000,104,2657,3763,8450,800,1563,1395,10000,35,8,
Boeing ,US,Boeing 707,Boeing 707-120,EARLY_JET,1958,43,78300000,174,5455,6605,13850,880,2321,651,10000,30,16,
Boeing ,US,Boeing 707,Boeing 707-320,EARLY_JET,1959,32,85975000,181,7228,7107,18408,880,3202,1062,10000,30,16,
Boeing ,US,Boeing 707,Boeing 720,EARLY_JET,1960,28,59600000,149,5616,6058,13090,880,2764,624,11400,30,16,
Boeing ,US,Boeing 707,Boeing 707-120B,EARLY_JET,1961,10,80910000,174,6331,5759,15600,880,2452,1006,11000,35,16,
Boeing ,US,Boeing 707,Boeing 707-320B,EARLY_JET,1962,26,90500000,181,9429,6341,16745,880,3291,1072,11000,35,16,
Boeing ,US,Boeing 707,Boeing 720B,EARLY_JET,1969,16,64740000,156,6050,5358,16075,880,1895,1125,12100,35,16,
Tupolev,RU,Tupolev Tu-104,Tupolev Tu-104A,EARLY_JET,1958,18,26250000,70,3676,6210,10700,840,1986,1090,9000,25,8,
Tupolev,RU,Tupolev Tu-104,Tupolev Tu-104B,EARLY_JET,1959,1,32500000,115,2120,6400,11065,840,2100,890,10000,25,8,
Tupolev,RU,Tupolev Tu-124,Tupolev Tu-124V,EARLY_JET,1960,16,18200000,56,1500,3500,6500,850,1560,1000,9500,25,8,
Douglas Corporation,US,Douglas DC-8,Douglas DC-8-10,EARLY_JET,1959,38,85025000,179,6960,6225,14676,895,2320,808,9500,30,16,
Douglas Corporation,US,Douglas DC-8,Douglas DC-8-20,EARLY_JET,1960,1,85920000,179,7341,6376,16545,895,2417,1015,9500,30,16,
Douglas Corporation,US,Douglas DC-8,Douglas DC-8-30,EARLY_JET,1960,16,89500000,179,9571,6426,18007,895,2893,836,10500,30,16,
Douglas Corporation,US,Douglas DC-8,Douglas DC-8-53,EARLY_JET,1961,18,94500000,189,9338,6472,13646,895,2924,1085,11500,30,16,
Convair,US,Convair CV-880 / CV-990,Convair CV-880,EARLY_JET,1960,20,38250000,90,5050,5063,12298,890,2293,1087,12000,30,8,
Convair,US,Convair CV-880 / CV-990,Convair CV-880M,EARLY_JET,1961,23,52700000,124,5508,5063,12370,890,2670,1063,10500,30,12,
Convair,US,Convair CV-880 / CV-990,Convair CV-990A,EARLY_JET,1962,12,63325000,149,5778,6389,12475,890,2636,1140,10500,30,16,
Vickers,GB,Vickers VC-10,Vickers VC-10 Type 1011,EARLY_JET,1964,18,71725000,151,7464,7269,15414,886,2162,1796,10000,35,16,
Vickers,GB,Vickers VC-10,Vickers VC-10 Type 1051,EARLY_JET,1965,13,83520000,174,8268,7530,16371,886,2405,1723,10000,35,16,
BAC,GB,BAC One-Eleven,BAC One-Eleven 200,REGIONAL,1965,15,31185000,81,2380,2782,4400,830,1423,1819,10000,35,8,
BAC,GB,BAC One-Eleven,BAC One-Eleven 300,REGIONAL,1966,23,38115000,99,2745,2900,4765,830,1895,760,10000,35,8,
BAC,GB,BAC One-Eleven,BAC One-Eleven 500,REGIONAL,1968,45,45815000,119,2745,2800,5027,830,2100,725,10000,35,8,
Douglas Corporation,US,Douglas DC-9,Douglas DC-9-10,REGIONAL,1965,49,39140000,103,3225,2977,5536,871,1317,1830,9100,35,8,
Douglas Corporation,US,Douglas DC-9,Douglas DC-9-20,REGIONAL,1969,4,34200000,90,2970,3075,5885,871,1200,2200,9100,35,8,
Douglas Corporation,US,Douglas DC-9,Douglas DC-9-30,REGIONAL,1967,5,43700000,115,2670,3300,6200,871,1900,1830,10000,35,8,
Douglas Corporation,US,Douglas DC-9,Douglas DC-9-40,REGIONAL,1968,11,47500000,125,2200,3400,6300,871,2200,1800,10000,35,8,
Douglas Corporation,US,Douglas DC-9,Douglas DC-9-50,MEDIUM,1975,32,52820000,139,1850,3650,6600,871,2300,1700,10000,35,12,
