iso2,iso3,income
AO,AGO,9460
AL,ALB,26490
AD,AND,76090
AE,ARE,81530
AR,ARG,29800
AM,ARM,22020
AG,ATG,31730
AU,AUS,68920
AT,AUT,71860
AZ,AZE,24220
BI,BDI,1200
BE,BEL,73470
BJ,BEN,4390
BF,BFA,2720
BD,BGD,10060
BG,BGR,39420
BH,BHR,62230
BS,BHS,39550
BA,BIH,22910
BY,BLR,32300
BZ,BLZ,13760
BO,BOL,12620
BR,BRA,21590
BB,BRB,23850
BN,BRN,92750
BT,BTN,15320
BW,BWA,20570
CF,CAF,1340
CA,CAN,64470
CH,CHE,91110
CL,CHL,32850
CN,CHN,26920
CI,CIV,7360
CM,CMR,5490
CD,COD,1760
CG,COG,6340
CO,COL,21070
KM,COM,3980
CV,CPV,11000
CR,CRI,27880
CU,CUB,21200
CY,CYP,54660
CZ,CZE,54230
DE,DEU,74880
DJ,DJI,8030
DM,DMA,21410
DK,DNK,82240
DO,DOM,26050
DZ,DZA,17290
EC,ECU,15410
EG,EGY,18230
ER,ERI,1720
ES,ESP,56590
EE,EST,48250
ET,ETH,3280
FI,FIN,64540
FJ,FJI,14490
FR,FRA,62590
FM,FSM,4690
GA,GAB,20400
GB,GBR,60090
GE,GEO,26200
GH,GHA,7720
GN,GIN,4130
GM,GMB,3430
GW,GNB,3140
GQ,GNQ,12330
GR,GRC,43030
GD,GRD,18220
GT,GTM,14170
GY,GUY,52290
HN,HND,6900
HR,HRV,49000
HT,HTI,3190
HU,HUN,46400
ID,IDN,16010
IN,IND,11000
IE,IRL,99180
IR,IRN,19820
IQ,IRQ,14530
IS,ISL,81740
IL,ISR,55250
IT,ITA,60490
JM,JAM,12690
JO,JOR,10570
JP,JPN,55120
KZ,KAZ,37590
KE,KEN,6540
KG,KGZ,7900
KH,KHM,7910
KI,KIR,6060
KN,KNA,34460
KR,KOR,59750
KW,KWT,63270
LA,LAO,9160
LB,LBN,12420
LR,LBR,1750
LY,LBY,15400
LC,LCA,24840
LI,LIE,0
LK,LKA,15240
LS,LSO,3580
LT,LTU,53070
LU,LUX,107100
LV,LVA,43040
MA,MAR,10260
MC,MCO,0
MD,MDA,18710
MG,MDG,1830
MV,MDV,23400
MX,MEX,25030
MH,MHL,9680
MK,MKD,25180
ML,MLI,3230
MT,MLT,61320
MM,MMR,5890
ME,MNE,34130
MN,MNG,17000
MZ,MOZ,1520
MR,MRT,7300
MU,MUS,35100
MW,MWI,1830
MY,MYS,37450
NA,NAM,11300
NE,NER,2030
NG,NGA,8850
NI,NIC,8270
NL,NLD,83040
NO,NOR,105770
NR,NRU,21970
NZ,NZL,53670
OM,OMN,39340
PK,PAK,6100
PA,PAN,39260
PE,PER,16780
PH,PHL,13330
PW,PLW,18320
PG,PNG,4580
PL,POL,48850
KP,PRK,0
PT,PRT,49720
PY,PRY,17930
PS,PSE,4660
QA,QAT,121900
RO,ROU,47590
RU,RUS,46780
RW,RWA,3620
SA,SAU,71730
SD,SDN,2050
SN,SEN,4920
SG,SGP,126190
SB,SLB,2680
SL,SLE,3490
SV,SLV,12420
SM,SMR,71860
SO,SOM,1630
RS,SRB,30210
SS,SSD,1010
ST,STP,6240
SR,SUR,20000
SK,SVK,46110
SI,SVN,55850
SE,SWE,74150
SZ,SWZ,10760
SC,SYC,32180
SY,SYR,4610
TD,TCD,2710
TG,TGO,3380
TH,THA,23960
TJ,TJK,7100
TM,TKM,21020
TL,TLS,5040
TO,TON,8400
TT,TTO,36580
TN,TUN,14230
TR,TUR,44600
TV,TUV,8320
TZ,TZA,4130
UG,UGA,3190
UA,UKR,18560
UY,URY,34170
US,USA,85980
UZ,UZB,12000
VC,VCT,21150
VE,VEN,20800
VN,VNM,15850
VU,VUT,4140
WS,WSM,8620
YE,YEM,3020
ZA,ZAF,15150
ZM,ZMB,3850
ZW,ZWE,5870
