year;week;origin;action;target;delta_value;event_name
-1;-1;USSR;CREATE_BLOCK;RU,UA,BY,EE,LV,LT,MD,GE,AM,AZ,KZ,UZ,TM,TJ,KG|enforce;5;Soviet Union
-1;-1;CZSK;CREATE_BLOCK;CZ,SK|enforce;5;Czechoslovakia
-1;-1;YUGOSLAVIA;CREATE_BLOCK;RS,HR,SI,BA,ME,MK,XK;5;Yugoslavia
-1;-1;NATO;CREATE_BLOCK;BE,CA,DK,FR,IS,IT,LU,NL,NO,PT,GB,US,GR,TR|enforce;3;NATO
-1;-1;COMECON;CREATE_BLOCK;RU,UA,BY,EE,LV,LT,MD,GE,AM,AZ,KZ,UZ,TM,TJ,KG,CZ,SK,HU,PL,RO,BG,AL;4;COMECON
-1;-1;ARAB_LEAGUE;CREATE_BLOCK;EG,IQ,JO,LB,SA,SY,YE,LY;2;Arab League
-1;-1;ANZUS;CREATE_BLOCK;AU,NZ,US|enforce;2;ANZUS
-1;-1;GB_DOMESTIC;CREATE_BLOCK;GB,JE,GG,IM,GI,FK,SH,BM,KY,VG,TC,MS,AI,PN|enforce;5;GB Domestic Market
-1;-1;COMMONWEALTH_CORE;CREATE_BLOCK;GB,CA,AU,NZ,HK;4;Commonwealth Core
-1;-1;COMMONWEALTH_INDEPENDENTS;CREATE_BLOCK;IN,PK,BD,LK,SG,MY,ZW,ZA;2;Commonwealth Independents
-1;-1;COMMONWEALTH_COLONIES;CREATE_BLOCK;NG,GH,KE,UG,TZ,ZM,MW,BW,LS,SZ,SL,GM,MT,CY,GY,TT,JM,BB,BS,BZ,PG,FJ,MV,SB,TO,VU,WS,KI,NR,TV;1;Commonwealth Colonies
-1;-1;OEEC;CREATE_BLOCK;AT,BE,DK,FR,GR,IS,IE,IT,LU,NL,NO,PT,SE,CH,TR,GB,DE;2;OEEC
-1;-1;USA_DOMESTIC;CREATE_BLOCK;US,PR,VI,GU,AS,MP,MH,FM,PW|enforce;5;US Domestic Market
-1;-1;FR_DOMESTIC;CREATE_BLOCK;FR,GF,GP,MQ,RE,PM,BL,MF,NC,PF,WF,YT|enforce;5;French Domestic Market
-1;-1;AU_DOMESTIC;CREATE_BLOCK;AU,NF,CX,CC|enforce;5;Australian Domestic Market
-1;-1;NZ_DOMESTIC;CREATE_BLOCK;NZ,CK,NU|enforce;5;New Zealand Domestic Market
-1;-1;NL_DOMESTIC;CREATE_BLOCK;NL,AW,CW,SX,BQ|enforce;5;Dutch Domestic Market
-1;-1;FRENCH_WEST_AFRICA;CREATE_BLOCK;SN,ML,GN,CI,BF,BJ,NE,TG;1;French West Africa (AOF)
-1;-1;FRENCH_EQUATORIAL_AFRICA;CREATE_BLOCK;TD,CF,CG,GA,CM,MG,DJ,KM;1;French Equatorial Africa + Indian Ocean
-1;-1;NATO;SET_BLOCK_RELATIONS;USSR;-2;NATO stance vs Soviet bloc
-1;-1;NATO;SET_BLOCK_RELATIONS;CZSK;-2;NATO stance vs Czechoslovakia
-1;-1;NATO;SET_BLOCK_RELATIONS;CN;-2;NATO stance vs PRC
-1;-1;NATO;SET_BLOCK_RELATIONS;KP;-3;NATO stance vs North Korea
-1;-1;USSR;SET_BLOCK_RELATIONS;NATO;-2;Soviet stance vs NATO
-1;-1;USSR;SET_BLOCK_RELATIONS;YUGOSLAVIA;1;Soviet stance vs Yugoslavia (Tito split)
-1;-1;USSR;SET_BLOCK_RELATIONS;KR;-2;Soviet stance vs South Korea
-1;-1;USSR;SET_BLOCK_RELATIONS;TW;-2;Soviet stance vs ROC Taiwan
-1;-1;USSR;SET_BLOCK_RELATIONS;JP;-2;Soviet stance vs Japan (no peace treaty)
-1;-1;USSR;SET_BLOCK_RELATIONS;CN;4;Soviet stance vs PRC (Sino-Soviet Treaty)
-1;-1;USSR;SET_BLOCK_RELATIONS;KP;4;Soviet stance vs North Korea
-1;-1;USSR;SET_BLOCK_RELATIONS;VN;3;Soviet stance vs North Vietnam
-1;-1;USSR;SET_BLOCK_RELATIONS;GB_DOMESTIC;-2;Soviet stance vs British territories
-1;-1;USSR;SET_BLOCK_RELATIONS;USA_DOMESTIC;-2;Soviet stance vs US territories
-1;-1;USSR;SET_BLOCK_RELATIONS;FR_DOMESTIC;-2;Soviet stance vs French territories
-1;-1;USSR;SET_BLOCK_RELATIONS;NL_DOMESTIC;-2;Soviet stance vs Dutch territories
-1;-1;USSR;SET_BLOCK_RELATIONS;AU_DOMESTIC;-2;Soviet stance vs Australian territories
