Name,ISO3,Raw Value,Target Value,Override Value
Aruba,ABW,100,6,
Andorra,AND,50,8,
Afghanistan,AFG,177,2,
Angola,AGO,181,1,3
Albania,ALB,97,6,
United Arab Emirates,ARE,31,9,10
Argentina,ARG,121,4,6
Armenia,ARM,35,9,5
American Samoa,ASM,50,8,7
Antigua and Barbuda,ATG,104,5,6
Australia,AUS,13,10,8
Austria,AUT,21,9,8
Azerbaijan,AZE,63,7,4
Burundi,BDI,152,3,
Belgium,BEL,43,8,
Benin,BEN,158,3,4
Burkina Faso,BFA,143,3,4
Bangladesh,BGD,174,2,4
Bulgaria,BGR,38,9,8
Bahrain,BHR,65,7,9
"Bahamas, The",BHS,106,5,6
Bosnia and Herzegovina,BIH,79,7,5
Belarus,BLR,44,8,5
Belize,BLZ,120,5,6
Bermuda,BMU,50,8,7
Bolivia,BOL,157,3,4
Brazil,BRA,116,5,7
Barbados,BRB,119,5,7
Brunei Darussalam,BRN,84,6,6
Bhutan,BTN,71,7,3
Botswana,BWA,72,7,5
Central African Republic,CAF,185,1,2
Canada,CAN,14,10,6
Switzerland,CHE,26,9,8
Chile,CHL,48,8,7
China,CHN,84,6,6
Cote d'Ivoire,CIV,142,3,4
Cameroon,CMR,172,2,4
"Congo, Rep.",COG,176,2,3
Colombia,COL,54,8,7
Comoros,COM,154,3,3
Cabo Verde,CPV,126,4,6
Costa Rica,CRI,58,8,7
Cuba,CUB,150,3,4
Curacao,CUW,100,6,7
Cayman Islands,CYM,50,8,8
Cyprus,CYP,47,8,8
Czech Republic,CZE,36,9,8
Germany,DEU,15,10,8
Djibouti,DJI,171,2,5
Dominica,DMA,91,6,5
Denmark,DNK,3,10,7
Dominican Republic,DOM,93,6,7
Algeria,DZA,163,2,3
Ecuador,ECU,117,5,5
"Egypt, Arab Rep.",EGY,131,4,5
Eritrea,ERI,189,1,1
Spain,ESP,33,9,8
Estonia,EST,16,10,8
Ethiopia,ETH,146,3,7
Finland,FIN,10,10,8
Fiji,FJI,88,6,7
France,FRA,27,9,7
Faeroe Islands,FRO,50,8,7
"Micronesia, Fed. Sts.",FSM,148,3,6
Gabon,GAB,162,2,4
United Kingdom,GBR,6,10,10
Georgia,GEO,24,9,6
Ghana,GHA,114,5,5
Guinea,GIN,165,2,3
"Gambia, The",GMB,151,3,4
Guinea-Bissau,GNB,178,2,2
Equatorial Guinea,GNQ,180,2,3
Greece,GRC,60,8,8
Grenada,GRD,135,4,6
Greenland,GRL,30,9,6
Guatemala,GTM,81,6,5
Guam,GUM,20,10,8
Guyana,GUY,137,4,5
"Hong Kong SAR, China",HKG,5,10,9
Honduras,HND,110,5,5
Croatia,HRV,40,9,8
Haiti,HTI,182,1,3
Hungary,HUN,42,8,8
Indonesia,IDN,109,5,6
Isle of Man,IMN,20,10,6
India,IND,130,4,4
Ireland,IRL,17,10,9
"Iran, Islamic Rep.",IRN,118,5,5
Iraq,IRQ,161,2,3
Iceland,ISL,19,10,8
Israel,ISR,53,8,6
Italy,ITA,45,8,8
Jamaica,JAM,64,7,6
Jordan,JOR,113,5,6
Japan,JPN,34,9,7
Kazakhstan,KAZ,41,8,7
Kenya,KEN,108,5,7
Kyrgyz Republic,KGZ,67,7,6
Cambodia,KHM,127,4,5
Kiribati,KIR,149,3,4
St. Kitts and Nevis,KNA,124,4,6
"Korea, Rep.",KOR,4,10,7
Kosovo,KSV,66,7,5
Kuwait,KWT,101,5,7
Lao PDR,LAO,134,4,4
Lebanon,LBN,123,4,4
Liberia,LBR,179,2,4
Libya,LBY,188,1,2
St. Lucia,LCA,77,7,6
Liechtenstein,LIE,50,8,
Sri Lanka,LKA,107,5,5
Lesotho,LSO,114,5,4
Lithuania,LTU,20,10,8
Luxembourg,LUX,61,7,8
Latvia,LVA,22,9,8
"Macao SAR, China",MAC,50,8,7
St. Martin (French part),MAF,50,8,7
Morocco,MAR,75,7,6
Monaco,MCO,20,10,
Moldova,MDA,52,8,5
Madagascar,MDG,164,2,4
Maldives,MDV,128,4,7
Mexico,MEX,38,9,6
Marshall Islands,MHL,140,4,7
"Macedonia, FYR",MKD,12,10,7
Mali,MLI,143,3,3
Malta,MLT,80,7,9
Myanmar,MMR,167,2,3
Montenegro,MNE,46,8,6
Mongolia,MNG,56,8,5
Northern Mariana Islands,MNP,100,6,7
Mozambique,MOZ,133,4,4
Mauritania,MRT,168,2,3
Mauritius,MUS,32,9,7
Malawi,MWI,141,3,4
Malaysia,MYS,18,10,7
Namibia,NAM,101,5,5
New Caledonia,NCL,50,8,7
Niger,NER,160,3,3
Nigeria,NGA,169,2,4
Nicaragua,NIC,125,4,4
Netherlands,NLD,28,9,9
Norway,NOR,9,10,8
Nepal,NPL,99,6,4
