IATA,Affinities
SFO,""Software & IT";"Venture Capital";"Pharma & Biotech";"Global Finance";"Professional Services";"Consulting"
OAK, "Maritime Shipping";"Rail Freight";"Insurance"
SJC, "Software & IT";"Microelectronics";"Venture Capital";"R&D"
LAX, "Media & Entertainment";"Aerospace";"Professional Services";"NA Finance";"Software & IT";
BUR, "Media & Entertainment";"NA Finance",
LGB, "Aerospace";"Maritime Shipping";"Rail Freight"
SNA, "Software & IT";"Biotech & Pharma";"Professional Services";"NA Finance";"Specialty Manufacturing"
ONT, "NA Logistics";"Renewables";"Academia";"Heavy Industry"
DFW, "Aerospace";"Defence NATO";"Professional Services";"Software & IT";"NA Logistics";"Oil & Gas"
DAL, "NA Finance";"Professional Services";"Software & IT";"Telco";"Government"
IAH, "Oil & Gas";"Petrochemicals";"Professional Services";"NA Logistics";"Maritime Shipping"
HOU, "Oil & Gas";"Petrochemicals";"Professional Services";"NA Finance";
MDW, "NA Finance";"Professional Services";"Government"
ORD, "NA Finance";"Professional Services";"Rail Freight";"Consumer Goods"
MIA, "LATAM Finance";"NA Finance";"Professional Services";"Maritime Shipping";"NA Logistics";"Media & Entertainment"
FLL, "Maritime Shipping";"Professional Services";"NA Finance"
BPI, "NA Finance";"Professional Services";
DCA, "Government";"Professional Services";"Consulting"
IAD, "Defence NATO";"Government";"Professional Services";"R&D"
BWI, "Academia";"R&D";"Professional Services"
PHL, "Professional Services";"Academia";"Insurance";"Biotech & Pharma";
EWR, "Maritime Shipping";"NA Logistics";"Rail Freight";"Banking";"NA Finance";"Insurance";"Professional Services"
LGA, "Global Finance";"NA Finance";"Banking";"Insurance";"Consulting";"Government";"Venture Capital"
JFK, "Global Finance";"NA Finance";"Professional Services";"Insurance";"Consulting";"Software & IT";"Media & Entertainment"
BDL, "Insurance";"Professional Services";"Consulting"
BOS, "Biotech & Pharma";"Academia";"R&D";"Venture Capital";"Software & IT";"Professional Services";"Consulting";"NA Finance"
PVD, "Academia"
RIC, "Government";"Professional Services"
